creator,base_model_count,total_derivatives,avg_downloads
Fizzarolli,3,17,4.0
Doctor-Shotgun,3,9,115.33333333333333
bitext,3,4,14.666666666666666
gorilla-llm,3,9,69.0
hamxea,3,3,111.0
heni86,3,3,1.3333333333333333
homeb82784,3,6,1.6666666666666667
andrijdavid,3,4,26.0
Vanessasml,3,4,7.666666666666667
hllj,3,12,2.3333333333333335
hinny-coder,3,3,0.0
daiandy,3,18,0.6666666666666666
Ppoyaa,3,3,3.3333333333333335
hyunseoki,3,5,536.3333333333334
JackFram,3,33,64916.333333333336
hwkwon,3,6,4.666666666666667
abhishekchohan,3,4,129.66666666666666
infly,3,50,168.66666666666666
Skywork,3,3,79.0
indischepartij,3,4,80.0
jerryzh168,3,3,0.0
bhenrym14,3,6,493.3333333333333
Isotonic,3,6,39.666666666666664
Phind,3,13,1327.0
jtatman,3,18,3.3333333333333335
josem7,3,4,1.6666666666666667
jwkweon,3,3,5.0
kawagoshi-llm-team,3,3,0.0
TucanoBR,3,16,851.0
abcorrea,3,6,2.6666666666666665
CarrotAI,3,3,10.333333333333334
Voicelab,3,15,1676.3333333333333
kuotient,3,13,1520.6666666666667
cygu,3,4,25.333333333333332
RAS1981,3,3,17.0
krishna195,3,3,1.6666666666666667
lgodwangl,3,8,0.0
lex-hue,3,3,5229.666666666667
C10X,3,7,9.0
VityaVitalich,3,3,649.6666666666666
lllyasviel,3,4,21.666666666666668
dominguesm,3,7,50.333333333333336
chlee10,3,3,4.666666666666667
lizchu413,3,3,0.3333333333333333
lisabdunlap,3,14,2.3333333333333335
Q-bert,3,7,517.0
luvGPT,3,13,50.666666666666664
PrimeIntellect,3,7,52.333333333333336
StatPan,3,3,4.0
lordjia,3,3,66.33333333333333
JoshXT,3,3,34.666666666666664
StanfordAIMI,3,6,2916.3333333333335
manishiitg,3,3,6.0
NESPED-GEN,3,3,0.0
ND911,3,4,1.3333333333333333
budecosystem,3,11,1115.6666666666667
m42-health,3,13,4969.0
lxsure,3,6,1.3333333333333333
alnrg2arg,3,17,723.3333333333334
ImagineIt,3,3,0.3333333333333333
Muhammad2003,3,7,6.333333333333333
markrodrigo,3,3,1.0
codelion,3,4,59.333333333333336
marcuscedricridia,3,23,2.3333333333333335
mattshumer,3,5,9.666666666666666
caisarl76,3,3,265.3333333333333
ausboss,3,9,811.0
BlueNipples,3,8,532.6666666666666
cnut1648,3,3,1.6666666666666667
Kaballas,3,3,3.6666666666666665
anthonymeo,3,4,1.0
Fredithefish,3,7,1044.6666666666667
fearlessdots,3,8,6.0
RinKana,3,5,0.0
adriata,3,4,16.0
Riiid,3,9,842.6666666666666
mii-llm,3,5,652.0
Keynote-Technology,3,9,6.0
mii-community,3,3,435.0
bardsai,3,20,378.6666666666667
mlinmg,3,6,77.33333333333333
mylesgoose,3,6,18.0
NbAiLab,3,5,28.666666666666668
ank028,3,21,354.0
sequelbox,3,7,50.333333333333336
baesad,3,3,0.0
ReasoningTransferability,3,6,22.666666666666668
Austism,3,6,578.0
niryuu,3,4,13.333333333333334
nineninesix,3,20,1660.3333333333333
nickypro,3,5,1305.3333333333333
Walmart-the-bag,3,7,503.0
0xSero,3,9,11.333333333333334
akjindal53244,3,56,1554.0
oivlisnet,3,3,0.0
dhyay,3,3,1.3333333333333333
blueapple8259,3,3,263.3333333333333
anfindsen,3,4,0.6666666666666666
Ksgk-fy,3,5,0.0
ohyeah1,3,15,5.666666666666667
dawn17,3,3,114.33333333333333
Arkana08,3,4,1.3333333333333333
fxmeng,3,4,1.6666666666666667
DevopsEmbrace,3,9,140.66666666666666
aixsatoshi,3,5,2.6666666666666665
dhmeltzer,3,3,791.0
orpo-explorers,3,3,3.0
AsphyXIA,3,3,1.3333333333333333
phamhoangf,3,3,0.3333333333333333
ferrazzipietro,3,4,57.333333333333336
Wonder-Griffin,3,6,7.666666666666667
NilanE,3,4,0.6666666666666666
croissantllm,3,14,471.3333333333333
pipizhao,3,6,4.0
Felladrin,3,17,292.3333333333333
Featherless-Chat-Models,3,4,7699.666666666667
piotr-ai,3,3,0.0
LargeWorldModel,3,9,99.0
prem-research,3,9,712.6666666666666
quantumaikr,3,12,503.6666666666667
qnguyen3,3,3,7030.333333333333
richmondsin,3,3,0.0
rhysjones,3,16,140.66666666666666
devhyun88,3,3,3.6666666666666665
rwitz2,3,8,494.6666666666667
Loyola,3,4,4.666666666666667
NeuralNovel,3,5,118.66666666666667
DreadPoor,3,9,108.0
fxmarty,3,4,16548.333333333332
Ichsan2895,3,7,47.333333333333336
ISTA-DASLab,3,4,325.3333333333333
carsenk,3,22,283.3333333333333
Yukang,3,4,540.0
rrw-x2,3,4,4.666666666666667
NoesisLab,3,12,252.33333333333334
saiscorelabsai,3,5,0.3333333333333333
sagea-ai,3,3,1.3333333333333333
camel-ai,3,6,775.0
sbintuitions,3,11,1054.0
Nitral-Archive,3,3,5.666666666666667
Himitsui,3,13,77.33333333333333
bharatgenai,3,3,403.3333333333333
senseable,3,53,454.6666666666667
seedboxai,3,6,19.333333333333332
ai-sage,3,14,2063.3333333333335
Herry443,3,3,42.333333333333336
beyoru,3,3,41.0
GSAI-ML,3,35,232841.0
sleepdeprived3,3,24,3.6666666666666665
somosnlp,3,3,12.666666666666666
smirki,3,3,1.3333333333333333
cnmoro,3,3,6.0
speechlessai,3,4,763.0
taide,3,9,1488.3333333333333
AlSamCur123,3,8,7.0
trl-internal-testing,3,17,2357951.3333333335
alibaba-pai,3,3,5.333333333333333
aubmindlab,3,14,3273.0
trillionlabs,3,14,374.3333333333333
tomoe007,3,3,1.0
clouditera,3,3,42.666666666666664
abacaj,3,5,51.333333333333336
typeof,3,3,4.333333333333333
ServiceNow-AI,3,8,240.33333333333334
win10,3,6,22.0
datek,3,3,1.0
whizzzzkid,3,5,6.333333333333333
AI4Chem,3,3,231.33333333333334
clibrain,3,10,538.6666666666666
wons,3,3,8.0
xxx777xxxASD,3,3,2.6666666666666665
OpenRLHF,3,4,504.0
2A2I-R,3,3,14.666666666666666
e-palmisano,2,2,1632.0
FluffyKaeloky,2,7,31.0
fierysurf,2,2,743.5
yunconglong,2,5,12308.5
duyhv1411,2,2,5.0
erfanzar,2,3,3.0
FlameF0X,2,2,167.5
zhouzr,2,3,0.0
ParasiticRogue,2,2,7.0
PabloSuaLap,2,2,3.5
EdgerunnersArchive,2,4,5.0
PAIXAI,2,10,349.0
Vezora,2,5,18.0
Vdr1,2,4,9.0
12thD,2,2,5.0
0rn0,2,2,10.5
PragmaticPete,2,2,1.0
coralieb7,2,2,1.0
PotatoOff,2,4,676.0
fhnw,2,2,2.0
JY623,2,2,1.0
Delta-Vector,2,13,3.5
context-labs,2,3,113.5
JEJUMA,2,2,5.5
UnicomLLM,2,4,8612.0
URajinda,2,3,4.0
PetterLee,2,2,0.5
bhavinjawade,2,4,780.0
ewqr2130,2,2,743.0
JinyiHan,2,5,35.0
fhai50032,2,2,55.5
coderbojack,2,2,2.5
codeparrot,2,4,38050.5
JetLM,2,3,2298.0
RAANA-IA,2,3,69.0
JetBrains,2,14,1337.5
JesseLiu,2,2,2.0
amazingvince,2,19,60.0
flax-community,2,3,160.5
Qiskit,2,3,17.0
VishnuPJ,2,3,10.5
K-intelligence,2,28,4897.0
ViraIntelligentDataMining,2,4,12.0
JulianKrgd,2,2,4.0
Jsoo,2,4,7.0
Josephgflowers,2,13,556.5
Joseph717171,2,12,16.0
VincentGOURBIN,2,3,2.5
Radu1999,2,2,112.5
RUC-AIBOX,2,2,4.5
Vikhrmodels,2,17,117.5
Ignaciohhhhggfgjfrffd,2,4,0.5
buddhist-nlp,2,3,353.0
GritLM,2,2,8574.5
GreatCaptainNemo,2,4,106.0
coconana,2,2,0.5
Gragroo,2,2,2.5
KONIexp,2,2,2.5
DeepESP,2,74,1193.0
RikoteMaster,2,2,1.5
KeyonZeng,2,2,57.0
Eurdem,2,4,48.5
KatyTheCutie,2,12,88.0
cxllin,2,13,9.0
drudilorenzo,2,2,1.0
IntelLabs,2,2,934.5
Redgalaxy2,2,2,5.0
We-Want-GPU,2,3,3.0
Infinirc,2,2,4302.5
Infinigence,2,6,20.5
cutycat2000x,2,2,4.0
LLaMAX,2,6,208.5
Deathsquad10,2,2,434.5
WKQ9411,2,3,0.0
RajuKandasamy,2,2,8.5
Kquant03,2,2,341.5
Rudra-ai,2,2,1.0
Kortix,2,22,531.0
VortexHunter23,2,2,1.0
androlike,2,3,1.0
ce-lery,2,3,28.5
ICBU-NPU,2,4,1280.5
RohitSuresh15,2,2,2.5
dreamgen-preview,2,8,5.0
FinaPolat,2,4,3.0
feeltheAGI,2,2,56.0
Faradaylab,2,4,939.5
Lambent,2,3,2.0
LSX-UniWue,2,5,607.5
arlineka,2,4,57.5
arkitekt-ai,2,8,0.5
LucidityAI,2,5,8.0
SVECTOR-CORPORATION,2,2,7.0
argilla,2,11,353.5
Lominub44,2,3,1.5
SRDdev,2,3,47.0
IEITYuan,2,2,38.0
Youlln,2,10,3.5
S4sch,2,4,732.0
emmazariah,2,2,0.0
RyotaKadoya1993,2,2,1.5
RuterNorway,2,4,716.5
MaLA-LM,2,2,18.0
aquiffoo,2,2,8.5
MSL7,2,45,113.5
euclaise,2,2,6.0
cpm-ai,2,2,4.5
cahya,2,3,309.5
caelunshun,2,2,0.5
SchubergPhilis,2,2,0.0
cpayne1303,2,2,6.0
Lyte,2,10,21.0
Saxo,2,4,13.0
augtoma,2,8,922.0
Mawdistical,2,11,1.0
Xenova,2,4,5570.5
augmxnt,2,9,765.0
MatteoKhan,2,4,4.0
destinyzxj,2,2,16.5
abagade,2,2,0.0
ShadrackImai,2,2,0.0
cenkersisman,2,2,33.5
derek33125,2,2,1.0
Makrrr,2,2,0.0
dongguanting,2,2,3.5
Seanxh,2,2,0.5
Zyphra,2,4,494.5
daniazie,2,3,0.5
Gille,2,2,58.0
Mikael110,2,4,800.5
eminAydin,2,4,1.0
denocris,2,2,1.5
damienbenveniste,2,5,4.0
MerlynMind,2,4,7.0
Gen2B,2,5,44.0
MergeBench-2B,2,2,0.0
Gen-Verse,2,2,40.0
Gargaz,2,2,20.5
Meggido,2,2,1.0
emilykang,2,2,1.5
DrRiceIO7,2,2,0.5
Smuggling1710,2,2,3.5
SmitTrivedi,2,2,0.5
Mollel,2,3,9.0
Smilyai-labs,2,2,1.0
ModelsLab,2,2,16.5
daekeun-ml,2,2,7.5
MoaData,2,5,5601.0
d4niel92,2,2,0.5
Minirecord,2,4,379.5
MiniMoog,2,8,112.0
delitante-coder,2,2,3.5
abhinand,2,6,897.0
cyrah-ai,2,2,0.0
abc88767,2,7,0.5
featherless-ai,2,4,51.0
aws-prototyping,2,7,8466.5
awnr,2,2,61.5
Hlias11,2,2,1.5
Equall,2,66,700.0
Daemontatox,2,5,8.5
StentorLabs,2,5,231.0
